content
阿鼻地狱
阿党比周
阿党相为
阿姑阿翁
阿家阿翁
阿娇金屋
阿猫阿狗
阿弥陀佛
阿毗地狱
阿平绝倒
阿其所好
阿时趋俗
阿世盗名
阿世媚俗
阿世取容
阿意取容
阿谀谄媚
阿谀逢迎
阿谀奉承
阿谀取容
哀哀父母
哀哀欲绝
哀兵必胜
哀而不伤
哀感天地
哀感顽艳
哀感中年
哀告宾服
哀鸿遍地
哀鸿遍野
哀毁骨立
哀毁瘠立
哀梨蒸食
哀声叹气
哀丝豪竹
哀思如潮
哀天叫地
哀痛欲绝
唉声叹气
挨冻受饿
挨风缉缝
挨家挨户
挨肩并足
挨肩擦膀
挨肩擦背
挨肩擦脸
挨肩搭背
挨肩迭背
挨肩叠背
挨门挨户
挨门逐户
挨三顶五
挨山塞海
捱风缉缝
捱三顶四
捱三顶五
嗳声叹气
矮人观场
矮人看场
矮人看戏
矮子观场
矮子看戏
蔼然可亲
蔼然仁者
爱别离苦
爱不忍释
爱不释手
爱才如渴
爱才如命
爱才若渴
爱财如命
爱富嫌贫
爱国如家
爱鹤失众
爱礼存羊
爱毛反裘
爱民如子
爱莫能助
爱莫之助
爱钱如命
爱人好士
爱人利物
爱人以德
爱日惜力
爱如己出
爱如珍宝
爱生恶死
爱素好古
爱屋及乌
爱惜羽毛
爱憎分明
碍口识羞
碍难从命
碍手碍脚
碍足碍手
暧昧不明
暧昧之情
安安稳稳
安邦定国
安邦治国
安不忘危
安步当车
安常处顺
安常履顺
安常守分
安常守故
安常习故
安车蒲轮
安堵乐业
安堵如故
安分守己
安分守已
安分知足
安份守己
安富恤贫
安富恤穷
安富尊荣
安故重迁
安国富民
安国宁家
安魂定魄
安家乐业
安家立业
安家落户
安居乐业
安老怀少
安良除暴
安眉带眼
安民告示
安内攘外
安贫乐道
安贫乐贱
安贫守道
安然如故
安然无事
安然无恙
安忍无亲
安如盘石
安如磐石
安如太山
安如泰山
安若泰山
安身乐业
安身立命
安身为乐
安身之处
安身之地
安神定魄
安生服业
安生乐业
安时处顺
安室利处
安适如常
安土乐业
安土重旧
安土重居
安土重迁
安危相易
安危与共
安闲自得
安闲自在
安心定志
安心乐业
安心乐意
安心落意
安营下寨
安营扎寨
安于盘石
安于现状
安于一隅
安宅正路
安枕而卧
安之若命
安之若素
安坐待毙
鞍马劳顿
鞍马劳倦
鞍马劳困
鞍马劳神
鞍马之劳
鞍前马后
岸谷之变
岸然道貌
按兵不动
按兵不举
按兵束甲
按步就班
按部就班
按堵如故
按甲寝兵
按甲休兵
按名责实
按捺不住
按辔徐行
按图索骥
按图索骏
按行自抑
案兵束甲
案牍劳形
案牍之劳
案甲休兵
案剑瞋目
案无留牍
暗锤打人
暗淡无光
暗斗明争
暗度陈仓
暗度金针
暗渡陈仓
暗箭明枪
暗箭难防
暗箭伤人
暗箭中人
暗绿稀红
暗昧之事
暗气暗恼
暗弱无断
暗室不欺
暗室逢灯
暗室亏心
暗室欺心
暗室求物
暗室私心
暗室屋漏
暗送秋波
暗无天日
暗香疏影
暗中摸索
黯淡无光
黯晦消沉
黯然伤神
黯然神伤
黯然失色
黯然无色
黯然销魂
昂昂自若
昂藏七尺
昂然直入
昂然自得
昂然自若
昂首阔步
昂首伸眉
昂首天外
昂首挺胸
